DATE,T2M,T2M_MIN,T2M_MAX,T2M_RANGE,T2MWET,T2MDEW,TS
1991-01-01,25.69,23.65,28.69,5.03,24.83,23.97,25.76
1991-01-02,25.85,23.49,29.25,5.76,24.77,23.69,25.96
1991-01-03,25.74,23.29,29.28,5.99,24.76,23.76,25.88
1991-01-04,25.66,23.55,28.64,5.09,24.9,24.14,25.76
1991-01-05,25.64,23.62,28.48,4.87,24.83,24.04,25.74
1991-01-06,26.1,23.44,30.39,6.95,24.81,23.52,26.32
1991-01-07,26.27,23.19,30.36,7.16,24.89,23.51,26.45
1991-01-08,25.35,23.23,28.01,4.77,24.18,23.01,25.39
1991-01-09,25.59,23.59,28.71,5.11,24.48,23.37,25.65
1991-01-10,26.04,23.33,29.8,6.47,24.79,23.54,26.24
1991-01-11,26.12,23.02,30.01,6.99,24.96,23.79,26.35
1991-01-12,26.62,23.8,30.94,7.15,25.36,24.1,26.83
1991-01-13,25.94,24,28.89,4.89,25.13,24.31,25.98
1991-01-14,25.98,23.69,29.49,5.8,24.89,23.8,26.14
1991-01-15,25.65,23.02,29.12,6.09,24.67,23.7,25.79
1991-01-16,26.08,22.81,30.12,7.3,24.93,23.79,26.33
1991-01-17,25.79,23.48,28.91,5.43,24.92,24.05,25.87
1991-01-18,26.09,23.44,30.3,6.85,25.05,24.02,26.23
1991-01-19,25.72,23.66,28.58,4.92,24.88,24.05,25.78
1991-01-20,25.5,23.31,28.77,5.46,24.55,23.61,25.62
1991-01-21,25.99,22.82,30.04,7.23,24.83,23.69,26.29
1991-01-22,25.44,23.23,28.59,5.36,24.6,23.76,25.46
1991-01-23,24.77,21.4,28.69,7.3,23.84,22.92,25.04
1991-01-24,26.08,23.1,30.21,7.11,24.65,23.24,26.34
1991-01-25,26.65,23.15,31.08,7.93,25.18,23.72,26.91
1991-01-26,25.69,23.43,28.79,5.36,24.74,23.79,25.74
1991-01-27,25.21,23.44,27.23,3.8,24.76,24.32,25.16
1991-01-28,24.93,23.6,26.97,3.37,24.39,23.85,24.94
1991-01-29,25.4,22.55,29.09,6.55,24.27,23.15,25.59
1991-01-30,25.62,22.9,29.57,6.66,24.58,23.53,25.82
1991-01-31,25.41,23.33,28.98,5.64,24.33,23.26,25.56
1991-02-01,25.62,22.93,29.56,6.64,24.55,23.48,25.79
1991-02-02,25.21,23.18,27.64,4.47,24.35,23.5,25.21
1991-02-03,26.01,23.47,29.6,6.14,24.88,23.76,26.15
1991-02-04,25.46,23.73,28.01,4.28,24.74,24.02,25.47
1991-02-05,25.23,23.08,28.58,5.5,24.26,23.31,25.26
